Te_K,Tc_K,superheat_K,subcool_K,h1,h2s,h2,h3,Qe,Wc,COP,P1,P3
273.15,311.4833333,2.5,7.5,400055.2854,423116.149,430803.1035,242928.6937,157126.5917,30747.81809,5.110170461,320263.4909,971909.4416
273.15,311.4833333,2.5,10,400055.2854,423116.149,430803.1035,239318.7044,160736.581,30747.81809,5.227576817,320263.4909,971909.4416
273.15,311.4833333,5,0,401492.2905,422714.2483,429788.2343,253927.8267,147564.4638,28295.94379,5.215039474,349658.6079,971909.4416
273.15,311.4833333,5,2.5,401492.2905,422714.2483,429788.2343,250231.8837,151260.4068,28295.94379,5.345656888,349658.6079,971909.4416
273.15,311.4833333,5,5,401492.2905,422714.2483,429788.2343,246565.9826,154926.3078,28295.94379,5.475212596,349658.6079,971909.4416
273.15,311.4833333,5,7.5,401492.2905,422714.2483,429788.2343,242928.6937,158563.5968,28295.94379,5.603757132,349658.6079,971909.4416
273.15,311.4833333,5,10,401492.2905,422714.2483,429788.2343,239318.7044,162173.5861,28295.94379,5.731336876,349658.6079,971909.4416
273.15,311.4833333,7.5,0,402913.5542,422334.3241,428807.9141,253927.8267,148985.7275,25894.3599,5.753597623,381076.6891,971909.4416
273.15,311.4833333,7.5,2.5,402913.5542,422334.3241,428807.9141,250231.8837,152681.6705,25894.3599,5.896329206,381076.6891,971909.4416
273.15,311.9,0,0,398603.4536,423778.5892,432170.3011,254546.8455,144056.6081,33566.84744,4.291633534,292803.1823,982939.2965
273.15,311.9,0,2.5,398603.4536,423778.5892,432170.3011,250845.7474,147757.7062,33566.84744,4.401894055,292803.1823,982939.2965
273.15,311.9,0,5,398603.4536,423778.5892,432170.3011,247174.9421,151428.5115,33566.84744,4.511252115,292803.1823,982939.2965
273.15,311.9,0,7.5,398603.4536,423778.5892,432170.3011,243532.9786,155070.475,33566.84744,4.619750941,292803.1823,982939.2965
273.15,311.9,0,10,398603.4536,423778.5892,432170.3011,239918.526,158684.9277,33566.84744,4.727430181,292803.1823,982939.2965
273.15,311.9,2.5,0,400055.2854,423352.1221,431117.7343,254546.8455,145508.4399,31062.44895,4.684384033,320263.4909,982939.2965
273.15,311.9,2.5,2.5,400055.2854,423352.1221,431117.7343,250845.7474,149209.538,31062.44895,4.803534268,320263.4909,982939.2965
273.15,311.9,2.5,5,400055.2854,423352.1221,431117.7343,247174.9421,152880.3433,31062.44895,4.921709282,320263.4909,982939.2965
273.15,311.9,2.5,7.5,400055.2854,423352.1221,431117.7343,243532.9786,156522.3068,31062.44895,5.038955785,320263.4909,982939.2965
273.15,311.9,2.5,10,400055.2854,423352.1221,431117.7343,239918.526,160136.7594,31062.44895,5.155316624,320263.4909,982939.2965
